date,family,sales,onpromotion
2026-05-01,BEVERAGES,168616.35,0
2026-05-02,BEVERAGES,242645.98,3
2026-05-03,BEVERAGES,185041.3,0
2026-05-04,BEVERAGES,177322.99,3
2026-05-05,BEVERAGES,190655.16,3
2026-05-06,BEVERAGES,194602.16,3
2026-05-07,BEVERAGES,211478.68,4
2026-05-08,BEVERAGES,200362.07,2
2026-05-09,BEVERAGES,247480.12,3
2026-05-10,BEVERAGES,236699.39,3
2026-05-11,BEVERAGES,194458.51,2
2026-05-12,BEVERAGES,172487.88,1
2026-05-13,BEVERAGES,197567.01,4
2026-05-14,BEVERAGES,195525.34,4
2026-05-15,BEVERAGES,209968.28,3
2026-05-16,BEVERAGES,215068.36,1
2026-05-17,BEVERAGES,222201.89,3
2026-05-18,BEVERAGES,200073.01,3
2026-05-19,BEVERAGES,193659.4,2
2026-05-20,BEVERAGES,184486.44,0
2026-05-21,BEVERAGES,191202.33,4
2026-05-22,BEVERAGES,185247.39,3
2026-05-23,BEVERAGES,241752.56,4
2026-05-24,BEVERAGES,232785.13,1
2026-05-25,BEVERAGES,176088.18,2
2026-05-26,BEVERAGES,167721.2,0
2026-05-27,BEVERAGES,196406.72,2
2026-05-28,BEVERAGES,198190.55,3
2026-05-29,BEVERAGES,193820.88,3
2026-05-30,BEVERAGES,231907.75,4
2026-05-31,BEVERAGES,243785.92,4
2026-06-01,BEVERAGES,184073.98,1
2026-06-02,BEVERAGES,195193.66,4
2026-06-03,BEVERAGES,179977.97,0
2026-06-04,BEVERAGES,170094.82,3
2026-06-05,BEVERAGES,184956.87,3
2026-06-06,BEVERAGES,208051.48,2
2026-06-07,BEVERAGES,213338.24,2
2026-06-08,BEVERAGES,168843.14,1
2026-06-09,BEVERAGES,187007.51,0
2026-06-10,BEVERAGES,187900.74,4
2026-06-11,BEVERAGES,185525.17,2
2026-06-12,BEVERAGES,192324.92,2
2026-06-13,BEVERAGES,227896.17,2
2026-06-14,BEVERAGES,213618.83,3
2026-06-15,BEVERAGES,184249.94,0
2026-06-16,BEVERAGES,162037.1,1
2026-06-17,BEVERAGES,167587.22,2
2026-06-18,BEVERAGES,197073.11,4
